Text,Place,Perpetrator,Date,Gang violence,Sexual violence,Famine
"Agricultural production is currently below the seasonal average due to excess rainfall, scarcity of seeds, a decrease in cultivated land, and high labour costs.",Haiti,N/A,N/A,No,No,Yes
"The state of emergency was expanded to cover the entire country on 4 September.",Haiti,N/A,4 September,No,No,No
"Two members of the Transitional Presidential Council (CPT), Smith Augustin and Louis Gérald Gilles, will be replaced due to their involvement in a large-scale corruption scandal. The calls for their replacement came from the sectors that appointed them.",Haiti,N/A,N/A,No,No,No
"A third member of the CPT, Emmanuel Vertilaire, was also accused of corruption, but his resignation has not been demanded as some insist that he is being falsely accused.",Haiti,N/A,N/A,No,No,No
"A prison break took place in the city of Saint-Marc on Friday 16 August, resulting in the death of 16 inmates. The situation was caused by a protest by the prisoners that got out of hand. By Friday afternoon, the situation was back under control.",Saint-Marc,N/A,16 August,No,No,No
"A report by the Fondasyon Je Klere, a non-profit citizen-monitoring organisation, disputed the narrative of a prison break, stating that inmates were only protesting food shortages related to a strike by the penitentiary administration who refused to feed inmates and allow basic necessities.",Saint-Marc,N/A,N/A,No,No,Yes
"An initiative was set-up by UNICEF on 9 September aiming to use art and music to provide children with alternatives to the ongoing violence.",Haiti,UNICEF,9 September,No,No,No
"A protocol was also established to enable children who were liberated from gangs to be treated as victims of violence, rather than delinquents. Support services have been put in place to facilitate the reintegration of these children into society.",Haiti,N/A,N/A,No,No,No
"The Haitian National Police Forces (PNH) destroyed a double wall erected by the ‘400 Mawozo’ gang on the national road #8 in Croix-des-Bouquets.",Croix-des-Bouquets,400 Mawozo,N/A,Yes,No,No
"There were tensions in downtown Port-au-Prince on 10 September as clashes took place between the PNH and gang members.",Port-au-Prince,N/A,10 September,Yes,No,No
"Two gang members, from the gangs “Chen Mechan” and “Pierre 6”, were arrested in a joint operation of the Departmental Service of Judicial Police and the Delmas Police Station.",Delmas,Chen Mechan and Pierre 6,N/A,Yes,No,No
"In an open letter, the Office for the Protection of Citizens (OPC) urged the Haitian government to take urgent action to support higher education, highlighting the severe impact of armed attacks on several facilities of the State University of Haiti (UEH), and the displacement of students and staff.",Haiti,N/A,N/A,No,No,No
"Haiti’s largest hydroelectric plant was down on 3 September after being overrun by protestors.",Haiti,N/A,3 September,No,No,No
"The leader of the gang coalition “Viv Ansam”, Jimmy ‘Barbecue’ Chérizier, held an interview with African stream in which he discussed the need for a system change, taking the power and wealth away from the “elites” to be redistributed among all Haitians, who he stated “are living in dirt”.",Haiti,Jimmy Chérizier,N/A,No,No,No
"A partial list of five names has been announced for Haiti’s Provisional Electoral Council (CEP), representing sectors such as the university, human rights, and labor unions. However, disputes still persist with disagreements over candidates and accusations of fraud.",Haiti,N/A,N/A,No,No,No
"104 gang members have been killed and 65 arrested under the state of emergency which was declared in 14 communes in Haiti. In addition, 19 firearms, seven vehicles, 9.24kg of cocaine and five fugitives were apprehended during police operations.",Haiti,Gangs,N/A,Yes,No,No
"Clashes took place between the Haiti National Police Forces (PNH) and gang members storming the commune of Gressier. According to the mayor of the commune, over 70 gang members were killed in the exchange of fire.",Gressier,Gangs,N/A,Yes,No,No
"Haitian and Kenyan police forces undertook an operation in Ganthier on 25 July. They were able to secure the area for a day, but the 400 Mawozo gang moved back in after the police forces left.",Ganthier,400 Mawozo,25 July,Yes,No,No
"The customs office in Ganthier was set on fire by gang members of the 400 Mawozo gang on 4 August. They also barricaded the bridge at the entrance of the commune, impeding access to Ganthier.",Ganthier,400 Mawozo,4 August,Yes,No,No
"An exchange of fire between gang members and a Kenyan officer took place near the Port-au-Prince main seaport on 30 July. A truck driver was killed in the process, whilst the Kenyan officer and several gang members were injured.",Port-au-Prince,Gangs,30 July,Yes,No,No
"Gang members of the “Viv Ansanm” gang coalition opened fire on the State University Hospital of Haiti on 29 July, which was being visited by Haitian Prime Minister Garry Conille at the time. The Prime Minister was able to leave unharmed.",Port-au-Prince,Viv Ansanm,29 July,Yes,No,No
"Repeated attacks from the Gran Grif gang on Pont-Sondé in July are raising fears regarding the gang’s ambition to control the region.",Pont-Sondé,Gran Grif,July,Yes,No,No
"1,379 people were killed or injured and 428 kidnapped between 1 April and 30 June, according to the latest BINUH report on the human rights situation in Haiti. Over 80% of killings and injuries happened in the West department, whilst 73% of kidnappings took place in Arbonite.",Haiti,N/A,1 April-30 June,Yes,No,No
"The high number of casualties in the capital is related to gang attacks, as well as gang executions, clashes between “self-defence” groups and gangs, and the excessive use of force during police operations.",Port-au-Prince,Gangs,N/A,Yes,No,No
"27 Children were killed between April and 30 June, with 22 more injured. The recruitment of children into gangs and “self-defence” groups has continued.",Haiti,Gangs,April-30 June,Yes,No,No
"Rape and gender-based violence increased in the last months, namely in gang-controlled areas and IDP sites. The youngest reported rape victim was a three-year-old girl. Women and girls in gang-controlled areas are often forced into sexual relationships with gang members.",Haiti,Gangs,N/A,Yes,Yes,No
"Prisons in Haiti are overcrowded and experiencing shortages of food, hygiene products and medicines. The lack of care, food and clean drinking water has led to the death of 78 inmates. The situation is especially bad in the prisons of Jérémie and Petit Goâve.",Jérémie,Petit Goâve,N/A,No,No,Yes
"Members of the judiciary are targets of threats and attacks, with five magistrates and lawyers killed between April and June in the Artibonite and North departments.",Artibonite,North,April-June,Yes,No,No
"The Anti-Corruption Unit (ULCC) made progress in a number of investigations against senior government officials. Recently, an investigation was launched into allegations of bribery solicitation involving three presidential advisors.",Haiti,Senior government officials,N/A,No,No,No
"Over 60,000 Haitian migrants were repatriated to Haiti in June according to the Support Group for Repatriates and Refugees (GARR).",Haiti,N/A,June,No,No,No
"There have been several cases of anthrax identified in Petit-Goâve.",Petit-Goâve,N/A,N/A,No,No,No
"A large sanitary operation is taking place in Tabarre supported by the Tabarre Municipal Council, the International Organisation for Migration (IOM-Haiti) and USAID. The aim of the operation is to prevent the spread of infectious diseases and reduce the risk of flooding in the region.",Tabarre,N/A,N/A,No,No,No
"Dozens of Haitian beneficiaries of the Humanitarian Parole programme faced disappointment at Toussaint Louverture International Airport on 6 August as their travel authorizations were invalidated by U.S. immigration authorities following the programme’s suspension.",Port-au-Prince,U.S. immigration authorities,6 August,No,No,No
"A government in Haiti has been formed, led by Garry Conille, who was named Prime Minister on 29 May. Conille will also take the role of Minister of the Interior and Local Authorities. 13 Ministers have been appointed, who are in charge of 17 Ministries.",Haiti,Garry Conille,29 May,No,No,No
"Business owners, crucial to providing jobs and livelihoods within communities, have lost millions of dollars when their businesses were destroyed by gangs.",Haiti,Gangs,N/A,Yes,No,No
"Commercial flights between the US and Port-au-Prince have resumed.",Port-au-Prince,N/A,N/A,No,No,No
"On 25 April gunfire was heard across Port-au-Prince, including in Champ-de-Mars, Carrefour de l’Aéroport, and Delmas, areas controlled by Jimmy Chérizier. Gunshots were also fired in Delmas and Solino on 30 April.",Port-au-Prince,Jimmy Chérizier,25 April-30 April,Yes,No,No
"Gangs have been blocking the access to the Varreux oil terminal with roadblocks for almost two weeks. Two ships transporting hundreds of millions of barrels of fuel are unable to dock at the terminal due to the insecurity, creating a high risk of a total fuel shortage.",Port-au-Prince,Gangs,N/A,Yes,No,Yes
"The commune of Arcahaie, to the North of Port-au-Prince, was attacked on 23 April.",Arcahaie,Gangs,23 April,Yes,No,No
"The Faculty of Medicine and Pharmacy in Port-au-Prince was vandalised and looted on 21 April. This brings the number of university departments that were looted in March and April up to five. The headquarters of the newspaper, Le Nouvelliste, was vandalised on 26 April.",Port-au-Prince,N/A,21 April-26 April,No,No,No
"13 gang members were arrested in Les Cayes during a police operation.",Les Cayes,Gangs,N/A,Yes,No,No
"It is estimated that 90% of Port-au-Prince is under gang control, with 2.7 million people living in those areas. At least 2,500 people have been confirmed killed, injured, or kidnapped so far in 2024.",Port-au-Prince,Gangs,2024,Yes,No,No
"Over 90,000 people are displaced in Port-au-Prince. In the entire country, 180,000 children are currently internally displaced and three million children are in need of humanitarian assistance in Haiti.",Haiti,N/A,N/A,No,No,Yes
"There are big concerns about the healthcare system in Haiti, as treatments of HIV/AIDS and TB have been disrupted, as well as vaccination campaigns, epidemic control and the prevention of chronic diseases. Cholera cases are climbing every day, with around 80,000 cases currently.",Haiti,N/A,N/A,No,No,Yes
"Schools in Port-au-Prince have now been closed for around three months. Many schools cannot be reopened, as some have been burned down, others are used as bases for gangs, and many are currently housing IDPs.",Port-au-Prince,Gangs,N/A,Yes,No,No
"The insecurity in the country has also led to the closure of university departments. The obstacles in education lead to concerns about a shortage of lecturers in the coming years, as well as a halt in economic mobility.",Haiti,N/A,N/A,No,No,No
"In an interview with CNN, Vitel’homme Innocent, leader of the Kraze Baryé gang who is among the top 10 wanted by the FBI, stated that he wants to get rid of the oligarchs in the country and emphasised the importance of gang representation in the governance of the country.",Haiti,Vitel’homme Innocent,N/A,No,No,No
"Demonstrations and violent clashes have been taking place all over Haiti’s capital region in the past days in the runup to the deadline of 7 February imposed by demonstrators to demand Prime Minister Ariel Henry to leave office.",Port-au-Prince,Demonstrators,N/A,Yes,No,No
"Guy Philippe, a former Haitian senator who has recently been instigating civil disobedience, was among demonstrators in Pétion-Ville, fulfilling his promise that he would be back in Port-au-Prince before 7 February.",Pétion-Ville,Guy Philippe,7 February,No,No,No
"Clashes with the police in the context of the demonstrations have led to two deaths in Port-au-Prince and other regions in Haiti, such as Cap Haitien.",Haiti,Demonstrators,N/A,Yes,No,No
"Demonstrators in Ouanaminthe made an attempt to burn down a market on Tuesday 23 January.",Ouanaminthe,Demonstrators,23 January,Yes,No,No
"Truck drivers and the general population have been called to strike in protest of the insecurity on national roads. The strikes are primarily organised by the Anti-Corruption Trade Union Brigade (BSAC).",Haiti,BSAC,N/A,No,No,No
"The blockades on the roads by armed groups will likely create a fuel shortage in Port-au-Prince, leading to a steep increase in fuel prices, according to the trade unionist Jacques Anderson Décroches.",Port-au-Prince,Gangs,N/A,Yes,No,Yes
"Armed groups have taken control of several neighbourhoods in Carrefour in Port-au-Prince. The areas of Martissant, Mariani, Carrefour feuilles, Pernier, Croix des Bouquets, Bel-Air and communes of Artibonite are all under gang control.",Carrefour,Gangs,N/A,Yes,No,No
"Armed men attacked several neighbourhoods of Carrefour on 5 February, trying to take control of the area. Several residents were killed and many were displaced.",Carrefour,Gangs,5 February,Yes,No,No
"The unrest in the country has led to the closure of schools in several regions, while health institutions are struggling to function and blockades on principal roads are inhibiting circulation.",Haiti,N/A,N/A,No,No,No
"The director of the National Agency for Protected Areas (ANAP), Jeantel Joseph, was dismissed by the Haitian government. A commission consisting of 5 members, including members of the Haitian National Police (PNH) and of the Haitian Armed forces (FADH), will replace him.",Haiti,Jeantel Joseph,N/A,No,No,No
"The head of the Protected Areas Security Brigade (BSAP), an operational directorate of ANAP, Joseph Jean Baptiste, has accused the government of adding fuel to the fire. In protest, Baptiste roamed on the street with armed agents.",Haiti,Joseph Jean Baptiste,N/A,No,No,No
"213 homicide cases, 69 kidnappings, and dozens of rape cases have been reported in Port-au-Prince since the start of the year. 52 people were killed in armed attacks on 30 and 31 January.",Port-au-Prince,Gangs,30-31 January,Yes,Yes,No
"The violence in Port-au-Prince and surrounding departments has escalated in the past month, with numerous reports of kidnappings and bodies found in the city, as well as an escalation of violence and demonstrations against the government.",Port-au-Prince,Gangs,N/A,Yes,No,No
"The Haitian National Police Force (PNH) deployed several specialised units on 15 January in Mariani, with the aim of facilitating the circulation of peaceful citizens. The situation there has been tense for 2 months since gangs took control of the area on 1 November 2023.",Mariani,Gangs,15 January,Yes,No,No
"The clashes between the police force and armed groups in Mariani have blocked transport of goods through the National Road #2. This has resulted in a drastic price inflation of basic goods in the capital, and an inflation of imported goods in several (southern) regions.",Mariani,Gangs,N/A,Yes,No,No
"Heavy fire was reported from the neighbourhoods of La Saline, Alerte street, the Bel’air district, Laraque street, Muller avenue and Maya street in Port-au-Prince on 14 January.",Port-au-Prince,Gangs,14 January,Yes,No,No
"On 18 January heavy fighting was seen in the neighbourhood of Solino, under attack by the Bel-Air and Kempes gangs, who also set houses on fire. The police forces have not yet intervened in the situation. The two gangs want to take control of the area to serve as transit for kidnappings.",Solino,"Bel-Air and Kempes gangs",18 January,Yes,No,No
"Former senator Guy Philippe has called on his supporters to civil disobedience, leading to protests in several cities in the country since 15 January. The demonstrations have led to a number of casualties, along with the closure of schools, banks and public offices.",Haiti,Guy Philippe,15 January,No,No,No
"The demonstrators demand that the Prime Minister Ariel Henri steps down by 7 February 2023, while Guy Philippe is advocating for an armed revolt.",Haiti,Guy Philippe,7 February,No,No,No
"Guy Philippe has been summoned to the prosecutor’s office after farmer’s filed a complaint against him for destruction of property, fire, assault, criminal conspiracy and illegal possession of automatic weapons.",Haiti,Guy Philippe,N/A,No,No,No
"A high ranking government official has stated that the Provisional Electoral Council will be formed in 2024 together with the reform of the Constitution and the organisation of elections.",Haiti,N/A,2024,No,No,No
"250 executives within the Haitian banking sector have left the sector and the country in 2023, leading to a skills drain. The movement of people out of Haiti due to insecurity has been draining the country of qualified professionals.",Haiti,N/A,2023,No,No,No
"Over 1,800 police officers left Haiti in 2023, according to the national union of Haitian police. The principal drivers behind this are the lack of prospects in the country and the American Parole humanitarian programme.",Haiti,N/A,2023,No,No,No
"37 Haitian police officers were killed by criminals in 2023. The loss of police officers on the force has significantly reduced the effectiveness of the National Police Forces.",Haiti,N/A,2023,Yes,No,No
"Doctors without borders (MSF) has pulled out of an emergency clinic in Port-au-Prince after a patient was pulled out of an ambulance and shot. Two MSF hospitals were previously closed in 2023, in Tabarre and Cite Soleil as a result of gang violence.",Port-au-Prince,Gangs,2023,Yes,No,No
"36 high-ranking officials have been issued arrest warrants in a corruption probe related to the misappropriation of property and funds from Haiti’s National Center of Equipment (CNE). Among those are two former presidents, Michel Martelly and Jocerleme Privert.",Haiti,Michel Martelly and Jocerleme Privert,N/A,No,No,No
"A new report by the UN has estimated that 673.8 million US dollars are needed to respond to the humanitarian crisis in Haiti in 2024.",Haiti,N/A,2024,No,No,Yes
"The rate of homicides and kidnappings in 2023 increased by 72% and 71% respectively since 2022, while rape cases increased by 49%, according to the UN report.",Haiti,N/A,2023,Yes,Yes,No
"5.2 million Haitians are in need of humanitarian assistance, of which 4.3 million are facing acute food insecurity, said the Deputy Special Representative of the Secretary-General in Haiti, Ulrika Richardson.",Haiti,N/A,N/A,No,No,Yes
"A report was published by the UN Human Rights Office of the High Commissioner (OHCHR) together with the UN political mission in Haiti urging for the deployment of the MSS and for the UN Security Council to update the list of individuals and entities that are subject to UN sanctions.",Haiti,N/A,N/A,No,No,No
"The report outlined that the spread of gangs into rural areas has led to the destruction of agriculture and has forced 22,000 people to flee to urban areas. At least 45% of the population is suffering from acute malnutrition.",Haiti,Gangs,N/A,Yes,No,Yes
"The most prominent gangs are members of a coalition entitled G-Pèp which has taken control of large territories of the country, including the National Highway #1 and crossing points to and from the northern regions, allowing illicit circulation of arms and drugs.",Haiti,G-Pèp,N/A,Yes,No,No
"With the police unable to control and contain the gangs, self-defence groups have emerged to protect civilians living in gang controlled areas. The practices of these groups include lynching of (alleged) gang members.",Haiti,Self-defense groups,N/A,Yes,No,No
"The UN has estimated that in 2023 the gang violence in Haiti has led to 3,690 people being killed, 1,432 injured and 2,591 kidnapped.",Haiti,Gangs,2023,Yes,No,No
"In October, the UN Security Council endorsed the Kenyan Multinational Security Support (MSS) Mission to Haiti, which is set to be deployed in February 2024 at the earliest.",Haiti,N/A,February 2024,No,No,No
"The mission will consist of 1000 police personnel deployed in Haiti and will be funded by the US and Canada.",Haiti,N/A,N/A,No,No,No
"6 Representatives of the Democratic party in the US wrote a letter to US Secretary of State Antony Blinken calling on the administration to withdraw their support of the MSS and instead focus on limiting the gangs’ access to guns and ammunition, most of which are imported from the US.",Haiti,Gangs,N/A,No,No,No
